dataset,qid,alpha,oracle_ndcg,bm25_ndcg,dense_ndcg,n_rel
msmarco,19335,0.72,0.8163367551125111,0.659968055042338,0.5102719106378646,20
msmarco,47923,0.3,0.5101222272784656,0.4252830185885641,0.47540065170973106,112
msmarco,87181,0.44,0.6965137958204798,0.5736962097278822,0.5992034018358353,83
msmarco,87452,0.14,0.48063219837813936,0.29783183097509436,0.4735551703123231,81
msmarco,104861,0.12,0.8231915454643545,0.48825305090492516,0.795765668339745,141
msmarco,130510,0.2,0.925098220740723,0.6907464240017194,0.8701331232081301,28
msmarco,131843,0.56,0.8011047788513015,0.7894650411717539,0.4811610774747958,64
msmarco,146187,0.16,0.8179042210767942,0.7321399304781427,0.7986794923879813,23
msmarco,148538,0.18,0.4804395186337558,0.333621537274898,0.45813522900090525,101
msmarco,156493,0.46,0.8551405656403661,0.7060805158028391,0.7842693604706568,133
msmarco,168216,0.77,0.9677555085712714,0.9572811500644202,0.7782233657627832,289
msmarco,182539,0.93,0.7445309983490076,0.7424977246102881,0.6017808914780104,53
msmarco,183378,0.32,0.6705023832507133,0.41556828284899155,0.6598073135368876,229
msmarco,207786,0.03,0.6925697578013245,0.4830394920427859,0.6908559020768354,24
msmarco,264014,0.03,0.8665737044034055,0.38429347475926223,0.8628130923646785,211
msmarco,359349,0.29,0.8422738538626877,0.7522840520410161,0.7933607240942341,56
msmarco,405717,0.51,0.747936433972561,0.5464602286225843,0.7183506807444383,35
msmarco,443396,0.16,0.15263875517407285,0.11309215564617954,0.12380201878668214,94
msmarco,451602,0.08,0.2801410590603562,0.12985156816820123,0.27660220030080496,154
msmarco,489204,0.25,0.2470868908797146,0.16084348588959266,0.19965651355578407,96
msmarco,490595,0.41,0.6154298509971361,0.5380777635176159,0.5713207027304614,55
msmarco,527433,0.29,0.3842686366738245,0.2780709485818014,0.37343243637768364,75
msmarco,573724,0.18,0.7310662094998911,0.5428690209170083,0.7247515749361526,69
msmarco,833860,0.15,0.8683887327923224,0.3010881433464015,0.8509415166545912,75
msmarco,855410,0.51,1.0,0.9604133524599737,0.34691966543392333,4
msmarco,915593,0.9,0.36513622273254337,0.3581696643805702,0.34711597584950177,92
msmarco,962179,0.0,0.8581875055657183,0.183067409331589,0.8581875055657183,25
msmarco,1037798,0.93,0.4017836954527455,0.3991965149085802,0.11000772955033021,13
msmarco,1063750,0.0,0.6408369344297555,0.06853465260310032,0.6408369344297555,276
msmarco,1103812,0.57,0.7197073802941589,0.6553127740866211,0.47898899861402217,31
msmarco,1106007,0.16,0.6802660897292206,0.3227750878867948,0.6735535201304468,60
msmarco,1110199,0.36,0.5610956011502143,0.2598843101460734,0.5509060816800768,35
msmarco,1112341,0.42,0.2634264483735478,0.18094183241137501,0.2126919327172783,142
msmarco,1113437,0.0,0.5652883077384918,0.15135720061392963,0.5652883077384918,77
msmarco,1114646,0.37,0.7682938234513274,0.405883744948029,0.7035294283436139,52
msmarco,1114819,0.42,0.7518698896898821,0.5658214012033985,0.7249410023454675,341
msmarco,1115776,0.47,0.8347679353948932,0.44176913956286074,0.7661943501978289,24
msmarco,1117099,0.8,0.5199915670958765,0.4228615448084458,0.4540742420085317,119
msmarco,1121402,0.22,0.9004002062149569,0.7124528380771655,0.8158555614549052,46
msmarco,1121709,0.03,0.6756947883932805,0.14301477561190865,0.6722616664303921,12
msmarco,1124210,0.95,0.2974352180653418,0.29733294004338884,0.008651100414046962,139
msmarco,1129237,0.06,0.8865285420623273,0.5428175142668347,0.8658250162968585,28
msmarco,1133167,0.0,0.899305396459965,0.5583896989204369,0.899305396459965,285
